Date,Year,Month Name,Quarter,Day Name
01-02-1997,1997,February,1,Saturday
01-03-1997,1997,March,1,Saturday
01-04-1997,1997,April,2,Tuesday
01-05-1997,1997,May,2,Thursday
01-06-1997,1997,June,2,Sunday
01-07-1997,1997,July,3,Tuesday
01-08-1997,1997,August,3,Friday
01-09-1997,1997,September,3,Monday
01-10-1997,1997,October,4,Wednesday
01-11-1997,1997,November,4,Saturday
01-12-1997,1997,December,4,Monday
01-01-1998,1998,January,1,Thursday
01-02-1998,1998,February,1,Sunday
01-03-1998,1998,March,1,Sunday
01-04-1998,1998,April,2,Wednesday
01-05-1998,1998,May,2,Friday
01-06-1998,1998,June,2,Monday
01-07-1998,1998,July,3,Wednesday
01-08-1998,1998,August,3,Saturday
01-09-1998,1998,September,3,Tuesday
01-10-1998,1998,October,4,Thursday
01-11-1998,1998,November,4,Sunday
01-12-1998,1998,December,4,Tuesday
01-01-1999,1999,January,1,Friday
01-02-1999,1999,February,1,Monday
01-03-1999,1999,March,1,Monday
01-04-1999,1999,April,2,Thursday
01-05-1999,1999,May,2,Saturday
01-06-1999,1999,June,2,Tuesday
01-07-1999,1999,July,3,Thursday
01-08-1999,1999,August,3,Sunday
01-09-1999,1999,September,3,Wednesday
01-10-1999,1999,October,4,Friday
01-11-1999,1999,November,4,Monday
01-12-1999,1999,December,4,Wednesday
01-01-2000,2000,January,1,Saturday
01-02-2000,2000,February,1,Tuesday
01-03-2000,2000,March,1,Wednesday
01-04-2000,2000,April,2,Saturday
01-05-2000,2000,May,2,Monday
01-06-2000,2000,June,2,Thursday
01-07-2000,2000,July,3,Saturday
01-08-2000,2000,August,3,Tuesday
01-09-2000,2000,September,3,Friday
01-10-2000,2000,October,4,Sunday
01-11-2000,2000,November,4,Wednesday
01-12-2000,2000,December,4,Friday
01-01-2001,2001,January,1,Monday
01-02-2001,2001,February,1,Thursday
01-03-2001,2001,March,1,Thursday
01-04-2001,2001,April,2,Sunday
01-05-2001,2001,May,2,Tuesday
01-06-2001,2001,June,2,Friday
01-07-2001,2001,July,3,Sunday
01-08-2001,2001,August,3,Wednesday
01-09-2001,2001,September,3,Saturday
01-10-2001,2001,October,4,Monday
01-11-2001,2001,November,4,Thursday
01-12-2001,2001,December,4,Saturday
01-01-2002,2002,January,1,Tuesday
01-02-2002,2002,February,1,Friday
01-03-2002,2002,March,1,Friday
01-04-2002,2002,April,2,Monday
01-05-2002,2002,May,2,Wednesday
01-06-2002,2002,June,2,Saturday
01-07-2002,2002,July,3,Monday
01-08-2002,2002,August,3,Thursday
01-09-2002,2002,September,3,Sunday
01-10-2002,2002,October,4,Tuesday
01-11-2002,2002,November,4,Friday
01-12-2002,2002,December,4,Sunday
01-01-2003,2003,January,1,Wednesday
01-02-2003,2003,February,1,Saturday
01-03-2003,2003,March,1,Saturday
01-04-2003,2003,April,2,Tuesday
01-05-2003,2003,May,2,Thursday
01-06-2003,2003,June,2,Sunday
01-07-2003,2003,July,3,Tuesday
01-08-2003,2003,August,3,Friday
01-09-2003,2003,September,3,Monday
01-10-2003,2003,October,4,Wednesday
01-11-2003,2003,November,4,Saturday
01-12-2003,2003,December,4,Monday
01-01-2004,2004,January,1,Thursday
01-02-2004,2004,February,1,Sunday
01-03-2004,2004,March,1,Monday
01-04-2004,2004,April,2,Thursday
01-05-2004,2004,May,2,Saturday
01-06-2004,2004,June,2,Tuesday
01-07-2004,2004,July,3,Thursday
01-08-2004,2004,August,3,Sunday
01-09-2004,2004,September,3,Wednesday
01-10-2004,2004,October,4,Friday
01-11-2004,2004,November,4,Monday
01-12-2004,2004,December,4,Wednesday
01-01-2005,2005,January,1,Saturday
01-02-2005,2005,February,1,Tuesday
01-03-2005,2005,March,1,Tuesday
01-04-2005,2005,April,2,Friday
01-05-2005,2005,May,2,Sunday
01-06-2005,2005,June,2,Wednesday
01-07-2005,2005,July,3,Friday
01-08-2005,2005,August,3,Monday
01-09-2005,2005,September,3,Thursday
01-10-2005,2005,October,4,Saturday
01-11-2005,2005,November,4,Tuesday
01-12-2005,2005,December,4,Thursday
01-01-2006,2006,January,1,Sunday
01-02-2006,2006,February,1,Wednesday
01-03-2006,2006,March,1,Wednesday
